대여소_ID,고도(m)
ST-555,29.44953536987305
ST-43,26.04794120788574
ST-42,32.99828720092773
ST-41,25.3966178894043
ST-40,22.44374084472656
ST-39,38.71569442749023
ST-37,21.61106109619141
ST-36,18.77140426635742
ST-354,37.59907150268555
ST-352,19.60173606872559
ST-351,17.22173118591309
ST-350,9.473830223083496
ST-35,11.43631172180176
ST-349,7.007851123809814
ST-348,17.95383834838867
ST-347,14.47762966156006
ST-346,33.00835037231445
ST-345,12.5409049987793
ST-3349,26.16425132751465
ST-3347,25.00277900695801
ST-33,8.66154956817627
ST-3202,29.03940391540527
ST-3140,17.03820419311523
ST-3139,25.64364433288574
ST-3114,21.06661605834961
ST-3113,19.96525573730469
ST-3107,43.96615600585938
ST-3062,15.12058162689209
ST-3051,33.20080947875977
ST-3033,20.64698791503906
ST-3027,37.81281280517578
ST-30,17.57561302185059
ST-2897,26.31722068786621
ST-2561,49.17052459716797
ST-25,37.1518669128418
ST-233,40.86518096923828
ST-232,16.9637336730957
ST-231,22.39615440368652
ST-230,33.93957138061523
ST-228,31.4581184387207
ST-227,17.32337951660156
ST-226,15.23502826690674
ST-224,49.39364624023438
ST-223,16.78058433532715
ST-222,20.29736709594727
ST-2219,33.16852188110352
ST-2217,36.33651351928711
ST-2216,17.09113311767578
ST-2215,22.63476371765137
ST-2214,15.822829246521
ST-2213,28.3166446685791
ST-2212,31.39340209960938
ST-2210,19.28474235534668
ST-221,19.74056625366211
ST-2208,18.09833717346191
ST-2207,14.87380218505859
ST-2206,16.63190650939941
ST-2205,15.46708679199219
ST-2204,16.92542457580566
ST-2202,41.10812759399414
ST-2201,19.77603721618652
ST-2200,37.61517333984375
ST-220,37.03547668457031
ST-2199,43.86643218994141
ST-2198,37.96076965332031
ST-2196,54.49696731567383
ST-2195,34.31058120727539
ST-2194,37.89109420776367
ST-219,53.57325744628906
ST-218,53.19481658935547
ST-217,37.46834564208984
ST-216,49.73801803588867
ST-17,36.18734741210938
ST-1493,55.01771926879883
ST-1491,39.21826553344727
ST-12,17.13962745666504
ST-1190,20.12779808044434
ST-1189,35.96943664550781
ST-1188,45.18394470214844
