대여소_ID,주소1,위도,경도
ST-555,서울특별시 서대문구 거북골로 34,37.581097,126.924026
ST-43,서울특별시 서대문구 창천동 84-16,37.559864,126.934418
ST-42,서울특별시 서대문구 연세로 50,37.562382,126.932648
ST-41,서울특별시 서대문구 연세로 50-1,37.560009,126.940735
ST-40,서울특별시 서대문구 증가로 264,37.559177,126.934525
ST-39,서울특별시 서대문구 연세로2다길 58,37.556812,126.943184
ST-37,서울특별시 서대문구 명물길 65,37.559227,126.939842
ST-36,서울특별시 서대문구 명물길 33,37.557892,126.93808
ST-354,서울특별시 서대문구 충정로 59 서대문 디오빌 오피스텔,37.563908,126.964973
ST-352,서울특별시 서대문구 홍제천로 48,37.56612,126.925896
ST-351,서울특별시 서대문구 연희동 446-76,37.567657,126.917809
ST-350,서울특별시 서대문구 불광천길 36,37.577316,126.902969
ST-35,서울특별시 서대문구 불광천길 150,37.582031,126.908997
ST-349,서울특별시 서대문구 북가좌동 352-9,37.579876,126.906349
ST-348,서울특별시 서대문구 연희동 519-7,37.572227,126.923065
ST-347,서울특별시 서대문구 응암로 66,37.578892,126.910736
ST-346,서울특별시 서대문구 연희로37안길 51,37.586388,126.935127
ST-345,서울특별시 서대문구 북가좌동 427-1,37.577637,126.909653
ST-3349,서울특별시 서대문구 모래내로 334 홍은2동주민센터,37.580269,126.93425
ST-3347,서울 서대문구 성산로 374,37.563259,126.930244
ST-33,서울특별시 서대문구 증가로 264,37.584171,126.911102
ST-3202,서울특별시 서대문구 통일로 81 NH농협생명빌딩,37.562336,126.969093
ST-3140,서울특별시 서대문구 연세로5나길 19 신촌. 파랑고래,37.556877,126.936035
ST-3139,서울특별시 서대문구 연희동 735,37.57914,126.934509
ST-3114,서울특별시 서대문구 홍은동 387-61,37.577168,126.929062
ST-3113,서울특별시 서대문구 남가좌동 318-20,37.576019,126.926834
ST-3107,서울특별시 서대문구 충정로 28-1 충정로역(5호선),37.559425,126.963058
ST-3062,서울특별시 서대문구 연희동 222-1,37.563557,126.928276
ST-3051,서울특별시 서대문구 충정로2가 8-3,37.56599,126.966072
ST-3033,서울특별시 서대문구 홍은동 387-61,37.576756,126.928276
ST-3027,서울특별시 서대문구 충정로 36 국민연금충정로사옥,37.561848,126.964149
ST-30,서울특별시 서대문구 연세로 3-5,37.555496,126.93634
ST-2897,서울특별시 서대문구 남가좌동 384-3,37.575043,126.917366
ST-2561,서울특별시 서대문구 서대문구 홍은동 11-7,37.601696,126.949165
ST-25,서울특별시 서대문구 홍제동 277-23,37.59433,126.947388
ST-233,서울특별시 서대문구 충정로3가 56-1,37.559967,126.962463
ST-232,서울특별시 서대문구 수색로 27 가좌역,37.568775,126.915298
ST-231,서울특별시 서대문구 모래내로 286 홍은2공중화장실,37.578068,126.930885
ST-230,서울특별시 서대문구 충정로2가 138,37.564777,126.966148
ST-228,서울특별시 서대문구 미근동 317-1,37.564724,126.967278
ST-227,서울특별시 서대문구 남가좌동 124,37.573112,126.922447
ST-226,서울특별시 서대문구 북가좌동 400,37.573002,126.907799
ST-224,서울특별시 서대문구 북가좌동 70-119,37.57946,126.91713
ST-223,서울특별시 서대문구 남가좌동 385-16,37.573818,126.919235
ST-222,서울특별시 서대문구 북가좌동 470-1,37.575138,126.91394
ST-2219,서울특별시 서대문구 서소문로 45 SK리쳄블,37.561317,126.966583
ST-2217,서울특별시 서대문구 홍제동 295-33,37.591862,126.944214
ST-2216,서울특별시 서대문구 남가좌동 385-7,37.572159,126.921188
ST-2215,서울특별시 서대문구 남가좌동 385-16,37.574551,126.918266
ST-2214,서울특별시 서대문구 수색로 100 DMC래미안e편한세상,37.576263,126.911324
ST-2213,서울특별시 서대문구 홍은동 274-18,37.581318,126.935997
ST-2212,서울특별시 서대문구 홍은동 424-1,37.583336,126.936287
ST-2210,서울특별시 서대문구 연희동 747-3,37.575642,126.927826
ST-221,서울특별시 서대문구 북가좌동 477-1,37.574478,126.910049
ST-2208,서울특별시 서대문구 남가좌동 385-13,37.572254,126.9151
ST-2207,서울특별시 서대문구 북가좌동 474-2,37.574284,126.906464
ST-2206,서울특별시 서대문구 북가좌동 487-1,37.570652,126.912987
ST-2205,서울특별시 서대문구 남가좌동 105-4,37.569836,126.918091
ST-2204,서울특별시 서대문구 연희로 78 SK삼보주유소,37.565197,126.929855
ST-2202,서울특별시 서대문구 성산로 520 이화여자대학교 부속 중학교,37.564068,126.945328
ST-2201,서울특별시 서대문구 신촌로 103-2,37.555504,126.937202
ST-2200,서울특별시 서대문구 북아현동 1016-2,37.561455,126.95575
ST-220,서울특별시 서대문구 홍은동 산25-3,37.583698,126.924965
ST-2199,서울특별시 서대문구 현저동 941,37.572205,126.959747
ST-2198,서울특별시 서대문구 합동 31-16,37.560463,126.965523
ST-2196,서울특별시 서대문구 통일로 357 무악재한화아파트,37.582211,126.950165
ST-2195,서울특별시 서대문구 연희로41길 4 현대상가,37.589283,126.936943
ST-2194,서울특별시 서대문구 홍은동 464-7,37.592934,126.941292
ST-219,서울특별시 서대문구 대신동 143-1,37.566261,126.946671
ST-218,서울특별시 서대문구 통일로 380-4,37.582245,126.950645
ST-217,서울특별시 서대문구 북아현동 251-78,37.557549,126.959381
ST-216,서울특별시 서대문구 대현동 60-11,37.556953,126.946342
ST-17,서울특별시 서대문구 통일로 483,37.59116,126.94133
ST-1493,서울특별시 서대문구 통일로 553,37.597149,126.93853
ST-1491,서울특별시 서대문구 통일로 지하 440-1,37.5867,126.94677
ST-12,서울특별시 서대문구 연희로 6,37.558933,126.927116
ST-1190,서울특별시 서대문구 연희로 113,37.567997,126.931656
ST-1189,서울특별시 서대문구 연희로 242,37.578381,126.936096
ST-1188,서울특별시 서대문구 신촌로 235-1,37.557396,126.952164
